86 338
69 60 7.51
46 21 6.22
53 46 -4.48
69 51 6.17
41 82 7.63
51 64 8.93
32 17 -4.27
47 31 -4.75
62 50 -3.73
76 15 9.09
80 64 7.07
68 6 6.28
82 11 -1.49
59 33 -4.09
62 56 -3.08
16 41 -2.79
23 17 -2.53
30 71 9.22
61 43 7.36
72 14 -1.90
84 3 -1.06
34 67 7.57
85 27 -4.42
19 46 7.01
28 9 7.70
19 71 6.86
41 83 8.26
56 18 7.32
16 23 -3.00
22 64 6.84
38 28 7.46
67 53 -1.56
46 14 -1.69
80 46 -3.59
50 71 -3.76
73 28 -1.16
31 83 -2.66
48 78 -4.07
81 74 -3.70
47 49 -1.39
79 35 6.53
14 68 8.87
81 52 -5.00
44 50 9.83
56 24 6.61
71 73 9.66
49 11 -2.26
3 55 -4.57
33 69 -2.07
38 66 6.51
47 21 -3.49
21 81 9.39
64 66 9.05
40 3 -1.23
34 31 9.51
16 31 -4.70
44 19 -1.48
11 26 8.20
72 24 -3.61
25 53 8.02
8 51 -1.56
68 12 -3.09
75 10 -4.96
51 15 7.11
69 22 9.74
62 75 8.67
39 38 -1.19
45 30 -3.48
2 66 7.59
74 18 -4.49
32 83 -3.19
9 52 -2.95
58 38 -1.09
78 41 9.08
43 79 7.76
52 22 9.05
46 80 6.34
6 39 9.36
78 14 9.67
55 15 8.30
76 0 9.75
77 49 -3.46
25 20 -4.58
77 39 9.37
75 50 -4.07
13 46 -1.65
52 18 9.26
49 37 7.30
56 44 -2.07
14 10 -2.56
13 36 -1.25
74 61 -3.99
0 17 -2.98
77 14 -3.21
60 83 -2.11
40 68 -2.40
47 58 -2.53
54 49 -3.83
45 11 9.78
25 79 7.77
1 48 7.08
19 73 9.41
22 58 6.43
37 78 -2.65
18 54 7.17
22 83 -2.93
30 56 7.25
55 37 7.42
10 41 -1.35
21 37 8.96
64 22 -3.83
35 15 -2.09
84 76 -3.99
71 6 8.74
50 82 8.05
32 60 -2.67
48 71 -2.79
6 57 8.20
36 24 8.35
77 45 -1.22
49 44 -1.33
79 63 8.26
76 44 -2.91
58 45 -4.59
55 58 6.32
9 23 8.77
62 15 9.62
73 35 8.55
53 0 8.13
76 84 8.69
34 62 8.58
55 2 6.70
23 84 6.93
52 40 9.45
31 77 9.43
26 68 -4.70
63 81 -1.56
41 80 9.87
58 3 -3.91
68 30 -4.25
28 32 7.40
19 51 8.24
11 28 -2.21
68 55 -4.44
77 7 -2.42
25 14 -3.27
3 33 -2.92
19 58 9.36
9 41 -4.77
54 81 -2.88
35 45 -2.76
11 84 8.80
24 7 -2.73
11 20 -3.03
41 3 9.31
39 73 -2.38
0 16 -1.56
64 22 -4.41
68 65 8.14
66 85 -2.53
17 84 9.89
3 82 8.15
7 31 8.65
20 22 6.38
5 9 7.14
50 47 9.38
2 50 -4.72
8 31 -2.88
84 1 -3.97
53 12 -4.61
48 4 -4.39
81 84 8.58
41 32 7.82
